,file,Silence,Baby laughter,"Baby cry, infant cry"
135,v69_ns-4,0.1484375,0.00390625,0.0
136,v69_ns-5,0.1484375,0.0,0.0
137,v69_ns-6,0.1484375,0.0078125,0.0
138,v69_ns-7,0.109375,0.0,0.0
139,v69_ns-8,0.109375,0.109375,0.08203125
140,v69_ns-9,0.33203125,0.0,0.0
141,v70_ns-1,0.1484375,0.0,0.0
142,v70_ns-10,0.26171875,0.0,0.0
143,v70_ns-11,0.1484375,0.0,0.0
144,v70_ns-12,0.1484375,0.0,0.0
145,v70_ns-13,0.1484375,0.0078125,0.00390625
146,v70_ns-14,0.73828125,0.0,0.0
147,v70_ns-2,0.19921875,0.0,0.0
148,v70_ns-3,0.19921875,0.0,0.0
149,v70_ns-4,0.1484375,0.0,0.0
150,v70_ns-5,0.1484375,0.0,0.0
151,v70_ns-6,0.1484375,0.0,0.0
152,v70_ns-7,0.1484375,0.0,0.0
153,v70_ns-8,0.109375,0.0,0.0
154,v70_ns-9,0.1484375,0.0,0.0
155,v71_ns-1,0.1484375,0.00390625,0.01953125
156,v71_ns-10,0.109375,0.0,0.00390625
157,v71_ns-11,0.109375,0.0,0.0
158,v71_ns-12,0.1484375,0.19921875,0.26171875
159,v71_ns-13,0.1484375,0.0,0.0
160,v71_ns-14,0.1484375,0.0,0.0078125
161,v71_ns-15,0.19921875,0.0,0.0
162,v71_ns-16,0.1484375,0.01953125,0.1484375
163,v71_ns-17,0.08203125,0.0,0.0
164,v71_ns-18,0.19921875,0.03125,0.19921875
165,v71_ns-19,0.1484375,0.05859375,0.01953125
166,v71_ns-2,0.1484375,0.00390625,0.04296875
167,v71_ns-20,0.1484375,0.0,0.0
168,v71_ns-21,0.1484375,0.0,0.00390625
169,v71_ns-22,0.1484375,0.04296875,0.26171875
170,v71_ns-23,0.19921875,0.04296875,0.109375
171,v71_ns-24,0.109375,0.109375,0.109375
172,v71_ns-25,0.1484375,0.00390625,0.03125
173,v71_ns-26,0.19921875,0.04296875,0.1484375
174,v71_ns-27,0.1484375,0.08203125,0.05859375
175,v71_ns-28,0.1484375,0.08203125,0.1484375
176,v71_ns-3,0.1484375,0.03125,0.08203125
177,v71_ns-4,0.1484375,0.0,0.00390625
178,v71_ns-5,0.1484375,0.00390625,0.0
179,v71_ns-6,0.19921875,0.04296875,0.19921875
180,v71_ns-7,0.109375,0.0,0.0
181,v71_ns-8,0.1484375,0.05859375,0.08203125
