video_file,blink_score,movement_score,,movement_norm,,,,,,,,
v12_s-1.mp4,0.6315046316,0.02253710608,2,0.1688255595,자는 애들 블링크 점수 평균,0.6382892008,자는 애들 움직임점수 평균,0.01097749504,자는 애들 정규화 움직임 점수 평균,0.09807683483,,
v12_s-10.mp4,0.5384186655,0.03708967617,3,0.4429042582,안자는 애들 블링크 점수 평균,0.2272434547,안자는 애들 움직임 점수 평균,0.01398904792,안자는 애들 정규화 움직임 점수 평균,0.1182672114,,
v12_s-11.mp4,0.4955861711,0.01783049119,4,0.1563514401,,,,,,,,
v12_s-12.mp4,0.5043537157,0.06356260584,5,0.6402496156,,,,,,,,
v12_s-13.mp4,0.4853635977,0.01849807235,6,0.1872126275,,,,,,,,
v12_s-14.mp4,0.4945346763,0.01177151528,7,0.1110949581,,,,,,,,
v12_s-15.mp4,0.5134191997,0.03960701674,8,0.4194557509,,,,,,,,
v12_s-16.mp4,0.5496124234,0.02020307998,9,0.2213323805,,,,,,,,
v12_s-17.mp4,0.5958739153,0.0534010876,10,0.5706373815,,,,,,,,
v12_s-18.mp4,0.6623152221,0.08075325182,11,0.6973027721,,,,,,,,
v12_s-19.mp4,0.6513478806,0.009155669645,12,0.06649897031,,,,,,,,
v12_s-2.mp4,0.6846527519,0.01131457761,13,0.09322414491,,,,,,,,
v12_s-20.mp4,0.6386294893,0.01565084569,14,0.1266486351,,,,,,,,
v12_s-21.mp4,0.6312639949,0.005261852346,15,0.04367092211,,,,,,,,
v12_s-3.mp4,0.642617474,0.03185426585,16,0.2601838283,,,,,,,,
v12_s-4.mp4,0.6871930944,0.006710528268,17,0.05875933668,,,,,,,,
v12_s-5.mp4,0.7043263502,0.01363101936,18,0.1273855225,,,,,,,,
v12_s-6.mp4,0.6226486489,0.01510323764,19,0.1481779725,,,,,,,,
v12_s-7.mp4,0.54682958,0.01183074495,20,0.1096225045,,,,,,,,
v12_s-8.mp4,0.6178798775,0.0126768747,21,0.1338613937,,,,,,,,
v12_s-9.mp4,0.5510765202,0.0356867833,22,0.3529064207,,,,,,,,
v17_s1-1.mp4,0.4759376546,0.001304464623,23,0.02289194621,,,,,,,,
v17_s2-1.mp4,0.3872226672,0.01367301273,24,0.1105041329,,,,,,,,
v17_s2-2.mp4,0.4442534878,0.007270430521,25,0.09721278253,,,,,,,,
v17_s2-3.mp4,0.4657553813,0.04441781513,26,0.4311107439,,,,,,,,
v17_s3-1.mp4,0.6359189991,0.003873745191,27,0.04298026944,,,,,,,,
v17_s3-2.mp4,0.5693046103,0.004093749864,28,0.01811683322,,,,,,,,
v17_s3-3.mp4,0.5318941561,0.002838115083,29,0.02947532199,,,,,,,,
v17_s4-1.mp4,0.5619804859,0.006153919376,30,0.04350870643,,,,,,,,
v17_s4-2.mp4,0.4073621227,0.1116285812,31,0.6400326052,,,,,,,,
v17_s4-3.mp4,0.447820959,0.01496214173,32,0.1099508325,,,,,,,,
v17_s4-4.mp4,0.4874405911,0.006908634164,33,0.04184865463,,,,,,,,
v17_s4-5.mp4,0.4939700874,0.02207540265,34,0.1724408818,,,,,,,,
v27_s-1.mp4,0.8047070925,0.00265470482,35,0.02233448943,,,,,,,,
v27_s-10.mp4,0.8134105516,0.005124096671,36,0.04291982445,,,,,,,,
v27_s-11.mp4,0.7787873534,0.003640712378,37,0.0186833375,,,,,,,,
v27_s-12.mp4,0.7871807764,0.008956876288,38,0.09180684917,,,,,,,,
v27_s-13.mp4,0.7890719014,0,39,0,,,,,,,,
v27_s-14.mp4,0.7379553852,0.001443688393,40,0.01208288775,,,,,,,,
v27_s-15.mp4,0.8127786281,0.007398492646,41,0.06131205421,,,,,,,,
v27_s-16.mp4,0.771845414,0.0007717207315,42,0.006535163613,,,,,,,,
v27_s-17.mp4,0.8185236032,0.02313388253,43,0.1937194308,,,,,,,,
v27_s-18.mp4,0.825065424,0.003510704443,44,0.03364003349,,,,,,,,
v27_s-19.mp4,0.798007415,0.001779916015,45,0.02604492717,,,,,,,,
